name,sci,kingdom,phylum,class,order,family,genus,mass_g,wild,captive,unrecorded,average,maximum,colonial,pred_global,pred_class,lq_global_maximum,lq_class_maximum,quality,note
Thick-necked turtle,Siebenrockiella crassicollis,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Siebenrockiella,940.0,,16.7,,16.7,16.7,False,13.8818,17.0792,1.203,0.9778,B,
Spectacled sculpin,Triglops scepticus,Animalia,Chordata,Actinopterygii,Perciformes/Cottoidei,Cottidae,Triglops,168.0,8.0,,,8.0,8.0,False,10.0376,8.183,0.797,0.9776,C,
Wyoming Pocket Gopher,Thomomys clusius,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,101.12,,,6.0,6.0,6.0,False,9.1225,6.1385,0.6577,0.9774,B,
Idaho Pocket Gopher,Thomomys idahoensis,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,101.12,,,6.0,6.0,6.0,False,9.1225,6.1385,0.6577,0.9774,B,
Northern Pocket Gopher,Thomomys talpoides,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,101.12,,,6.0,6.0,6.0,False,9.1225,6.1385,0.6577,0.9774,B,
Pacific lamprey,Entosphenus tridentatus,Animalia,Chordata,Petromyzontida,Petromyzontiformes,Petromyzontidae,Entosphenus,275.0,9.0,,,9.0,9.0,False,11.0137,9.2093,0.8172,0.9773,B,
South polar skua,Stercorarius maccormicki,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,1349.0,23.5,,,23.5,23.5,False,14.859,24.0553,1.5815,0.9769,B,
Jackson's chameleon,Trioceros jacksonii,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Trioceros,32.565,,8.2,,8.2,8.2,False,7.3698,8.395,1.1127,0.9768,B,
Carolina wren,Thryothorus ludovicianus,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryothorus,17.5,9.2,,,9.2,9.2,False,6.5564,9.4194,1.4032,0.9767,B,
Helmeted turtle,Pelomedusa subrufa,Animalia,Chordata,Reptilia,Testudines,Pelomedusidae,Pelomedusa,2273.0,,20.1,,20.1,20.1,False,16.3929,20.5807,1.2261,0.9766,B,
Nubian ibex,Capra nubiana,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,46250.0,,22.4,,22.4,22.4,False,28.9102,22.9362,0.7748,0.9766,B,
European Stonechat,Saxicola rubicola,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,14.5,,,8.8333,8.8333,8.8333,False,6.3283,9.0448,1.3958,0.9766,B,
Snow goose,Chen caerulescens,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,2806.65,27.5,,,27.5,27.5,False,17.057,28.1753,1.6122,0.976,B,
Vimba bream,Vimba vimba,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Vimba,2330.0,15.0,,,15.0,15.0,False,16.4695,15.3724,0.9108,0.9758,C,
Spot-billed Pelican,Pelecanus philippensis,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,4900.0,,,31.0,31.0,31.0,False,18.944,31.7754,1.6364,0.9756,B,
Indian krait,Bungarus caeruleus,Animalia,Chordata,Reptilia,Squamata,Elapidae,Bungarus,1154.0,,17.4,,17.4,17.4,False,14.4285,17.8353,1.2059,0.9756,B,
Burmese Krait,Bungarus magnimaculatus,Animalia,Chordata,Reptilia,Squamata,Elapidae,Bungarus,1154.0,,,17.4,17.4,17.4,False,14.4285,17.8353,1.2059,0.9756,B,
Sind Krait,Bungarus sindanus,Animalia,Chordata,Reptilia,Squamata,Elapidae,Bungarus,1154.0,,,17.4,17.4,17.4,False,14.4285,17.8353,1.2059,0.9756,B,
Kulan,Equus hemionus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,230000.0,,31.6,,31.6,31.6,False,39.1045,32.391,0.8081,0.9756,B,
"Plain titmouse, or Oak titmouse",Baeolophus inornatus,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,15.9,9.0,,,9.0,9.0,False,6.4391,9.2265,1.3977,0.9754,B,
Blue grosbeak,Passerina caerulea,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,28.4,10.2,,,10.2,10.2,False,7.1823,10.4568,1.4202,0.9754,B,
Owston's Palm Civet,Chrotogale owstoni,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Chrotogale,3258.86,,,12.6417,12.6417,12.6417,False,17.5436,12.9603,0.7206,0.9754,B,
Scalloped hammerhead,Sphyrna lewini,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Sphyrna,80000.0,35.0,,,35.0,35.0,False,32.0526,35.8894,1.092,0.9752,B,
Spotted towhee,Pipilo maculatus,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,40.4,11.0,,,11.0,11.0,False,7.6751,11.2831,1.4332,0.9749,B,
Eurasian linnet,Linaria cannabina,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,19.5,9.4,,,9.4,9.4,False,6.6914,9.642,1.4048,0.9749,B,
Ringtailed rock wallaby,Petrogale xanthopus,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Petrogale,6000.0,,14.4,,14.4,14.4,False,19.6804,14.7794,0.7317,0.9743,B,
Kintampo Rope Squirrel,Funisciurus substriatus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funisciurus,185.73,,,6.8167,6.8167,6.8167,False,10.229,6.9965,0.6664,0.9743,B,
Eastern whipbird,Psophodes olivaceus,Animalia,Chordata,Aves,Passeriformes,Psophodidae,Psophodes,68.0,12.3,,,12.3,12.3,False,8.4657,12.6248,1.4529,0.9743,B,
Hooded robin,Melanodryas cucullata,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Melanodryas,21.575,9.6,,,9.6,9.6,False,6.82,9.8547,1.4076,0.9742,B,
Emperor angelfish,Pomacanthus imperator,Animalia,Chordata,Actinopterygii,Acanthuriformes,Pomacanthidae,Pomacanthus,1761.02,14.0,,,14.0,14.0,False,15.6237,14.3743,0.8961,0.974,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Neotropical Otter,Lontra longicaudis,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,7027.48,,,14.8917,14.8917,14.8917,False,20.275,15.2908,0.7345,0.9739,B,
Siberian Stonechat,Saxicola maurus,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,14.7,,,8.8333,8.8333,8.8333,False,6.3446,9.0716,1.3922,0.9737,B,
Madagascan Stonechat,Saxicola sibilla,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,14.7,,,8.8333,8.8333,8.8333,False,6.3446,9.0716,1.3922,0.9737,B,
Stejneger's Stonechat,Saxicola stejnegeri,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,14.7,,,8.8333,8.8333,8.8333,False,6.3446,9.0716,1.3922,0.9737,B,
Ridge scaled rattail,Macrourus carinatus,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Macrourus,6309.58,19.0,,,19.0,19.0,False,19.8678,19.5199,0.9563,0.9734,B,
Golden-winged warbler,Vermivora chrysoptera,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,8.8,7.9,,,7.9,7.9,False,5.7603,8.1208,1.3715,0.9728,B,
African Swamphen,Porphyrio madagascariensis,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,1014.0,,,22.0,22.0,22.0,False,14.0813,22.6182,1.5624,0.9727,B,
Pleasant Gerbil,Gerbillus amoenus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,26.95,,,4.4917,4.4917,4.4917,False,7.1118,4.6183,0.6316,0.9726,B,
Couch's goby,Gobius couchi,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobius,51.719,6.0,,,6.0,6.0,False,8.0405,6.1692,0.7462,0.9726,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Humped rockcod,Gobionotothen gibberifrons,Animalia,Chordata,Actinopterygii,Perciformes/Notothenioidei,Nototheniidae,Gobionotothen,1773.27,,,14.0,14.0,14.0,False,15.6441,14.3982,0.8949,0.9723,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Black-necked Swan,Cygnus melancoryphus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,4275.0,,,30.0,30.0,30.0,False,18.4635,30.8534,1.6248,0.9723,B,
Rufous-tailed Hummingbird,Amazilia tzacatl,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,5.05,,,7.0,7.0,7.0,False,5.1884,7.2037,1.3492,0.9717,B,
Malayan civet,Viverra tangalunga,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverra,7350.0,,15.0,,15.0,15.0,False,20.4471,15.4392,0.7336,0.9716,C,
Indian muntjac,Muntiacus muntjak,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,21000.0,,18.8,,18.8,18.8,False,24.9163,19.3524,0.7545,0.9715,B,
"Three-toed Snake Skink, Indian Sand Swimmer",Ophiomorus tridactylus,Animalia,Chordata,Reptilia,Squamata,Scincidae,Ophiomorus,6.5,,,5.8,5.8,5.8,False,5.4409,5.9732,1.066,0.971,B,
Relict dace,Relictus solitarius,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Relictus,24.3438,5.0,,,5.0,5.0,False,6.9768,5.1495,0.7167,0.971,B,
Sage sparrow,Artemisiospiza belli,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Artemisiospiza,17.1,9.1,,,9.1,9.1,False,6.5279,9.3725,1.394,0.9709,B,
Mountain zebra,Equus zebra,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,296000.0,,33.2,,33.2,33.2,False,41.0069,34.198,0.8096,0.9708,B,
Red barracuda,Sphyraena pinguis,Animalia,Chordata,Actinopterygii,Carangaria/misc,Sphyraenidae,Sphyraena,653.088,,,11.0,11.0,11.0,False,12.9618,11.3317,0.8486,0.9707,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
White-winged chough,Corcorax melanoramphos,Animalia,Chordata,Aves,Passeriformes,Corcoracidae,Corcorax,364.0,17.6,,,17.6,17.6,False,11.6108,18.132,1.5158,0.9707,B,
Red-backed fairywren,Malurus melanocephalus,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,7.9,7.7,,,7.7,7.7,False,5.6445,7.9339,1.3642,0.9705,B,
Iberian Green Woodpecker,Picus sharpei,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,184.667,,,15.2,15.2,15.2,False,10.218,15.6621,1.4876,0.9705,B,
Hooded warbler,Setophaga citrina,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,10.6,8.2,,,8.2,8.2,False,5.9658,8.4536,1.3745,0.97,B,
Onespot fringehead,Neoclinus uninotatus,Animalia,Chordata,Actinopterygii,Blenniiformes,Chaenopsidae,Neoclinus,99.4709,7.0,,,7.0,7.0,False,9.0943,7.2167,0.7697,0.97,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Southern dibbler,Parantechinus apicalis,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus,70.0,,5.5,,5.5,5.5,False,8.5121,5.6714,0.6461,0.9698,B,
Great Plains Skink,Plestiodon obsoletus,Animalia,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,30.0,,,8.0,8.0,8.0,False,7.2568,8.2508,1.1024,0.9696,B,
Broadhead Skink,Plestiodon laticeps,Animalia,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,30.02,,,8.0,8.0,8.0,False,7.2577,8.252,1.1023,0.9695,B,
Camas Pocket Gopher,Thomomys bulbivorus,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,105.07,,,6.0,6.0,6.0,False,9.1886,6.1893,0.653,0.9694,B,
Speckled mousebird,Colius striatus,Animalia,Chordata,Aves,Coliiformes,Coliidae,Colius,51.0,,11.5,,11.5,11.5,False,8.0193,11.8649,1.434,0.9692,B,
Asian garden dormouse,Eliomys melanurus,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Eliomys,122.5,,6.2,,6.2,6.2,False,9.458,6.3972,0.6555,0.9692,B,
Mexican parrotlet,Forpus cyanopygius,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,33.5,,10.5,,10.5,10.5,False,7.4092,10.8362,1.4172,0.969,B,
Bleak,Alburnus alburnus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Alburnus,100.0,,,7.0,7.0,7.0,False,9.1034,7.2259,0.7689,0.9687,C,
Short-beaked saddleback dolphin,Delphinus delphis,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Delphinus,80000.0,25.0,,,25.0,25.0,False,32.0526,25.8066,0.78,0.9687,B,
Carpentarian rock rat,Zyzomys palatilis,Animalia,Chordata,Mammalia,Rodentia,Muridae,Zyzomys,123.0,,6.2,,6.2,6.2,False,9.4653,6.4028,0.655,0.9683,B,
Baker's spinytail iguana,Ctenosaura bakeri,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,399.4,,13.8,,13.8,13.8,False,11.8155,14.2546,1.168,0.9681,B,
"Eastern olivaceous warbler, or Olivaceous warbler",Iduna pallida,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Iduna,9.0,7.9,,,7.9,7.9,False,5.7848,8.1603,1.3657,0.9681,B,
Pygmy nuthatch,Sitta pygmaea,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,10.7,8.2,,,8.2,8.2,False,5.9763,8.4707,1.3721,0.968,B,
Slender-billed parakeet,Enicognathus leptorhynchus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Enicognathus,193.0,,15.3,,15.3,15.3,False,10.3033,15.812,1.485,0.9676,B,
Vivacious Gerbil,Gerbillus vivax,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,27.6,,,4.4917,4.4917,4.4917,False,7.1437,4.6421,0.6288,0.9676,B,
Brush-tailed rock wallaby,Petrogale penicillata,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Petrogale,6000.0,,14.3,,14.3,14.3,False,19.6804,14.7794,0.7266,0.9676,B,
Blue stingray,Dasyatis chrysonota,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis,445.0,10.0,,,10.0,10.0,False,12.0585,10.3359,0.8293,0.9675,B,
Humboldt Penguin,Spheniscus humboldti,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,4379.0,,,30.0,30.0,30.0,False,18.5472,31.0139,1.6175,0.9673,B,
Gray-headed tanager,Eucometis penicillata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Eucometis,27.0,10.0,,,10.0,10.0,False,7.1142,10.3434,1.4056,0.9668,B,
Bushy-tailed Mongoose,Bdeogale crassicauda,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Bdeogale,1646.07,,,10.8167,10.8167,10.8167,False,15.4264,11.1889,0.7012,0.9667,B,
Northern goshawk,Accipiter gentilis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1044.2,22.0,,,22.0,22.0,False,14.1594,22.7619,1.5537,0.9665,B,
Bar-shouldered dove,Geopelia humeralis,Animalia,Chordata,Aves,Columbiformes,Columbidae,Geopelia,128.65,14.0,,,14.0,14.0,False,9.5457,14.4869,1.4666,0.9664,B,
Ring-necked duck,Aythya collaris,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,737.0,20.4,,,20.4,20.4,False,13.2602,21.1133,1.5384,0.9662,B,
Sumatran Porcupine,Hystrix sumatrae,Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,4200.0,,,13.225,13.225,13.225,False,18.402,13.6875,0.7187,0.9662,B,
Mountain tapir,Tapirus pinchaque,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,148950.0,,28.5,,28.5,28.5,False,36.0326,29.4999,0.7909,0.9661,B,
Red-backed shrike,Lanius collurio,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,28.4,10.1,,,10.1,10.1,False,7.1823,10.4568,1.4062,0.9659,B,
Western Olivaceous Warbler,Iduna opaca,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Iduna,9.1,,,7.9,7.9,7.9,False,5.7968,8.1798,1.3628,0.9658,B,
Kauai amakihi,Chlorodrepanis stejnegeri,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chlorodrepanis,16.65,,9.0,,9.0,9.0,False,6.4952,9.3188,1.3856,0.9658,B,
White amur bream,Parabramis pekinensis,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Parabramis,4100.0,17.0,,,17.0,17.0,False,18.3187,17.6031,0.928,0.9657,C,
Botta's pocket gopher,Thomomys bottae,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,115.5,,6.1,,6.1,6.1,False,9.3538,6.3167,0.6521,0.9657,B,
Townsend's Pocket Gopher,Thomomys townsendii,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,115.5,,,6.1,6.1,6.1,False,9.3538,6.3167,0.6521,0.9657,B,
Kaluga,Huso dauricus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,550000.0,55.0,,,55.0,55.0,False,46.0813,56.9797,1.1935,0.9653,B,
Scrub Hare,Lepus saxatilis,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,2686.0,,,12.0,12.0,12.0,False,16.9164,12.4322,0.7094,0.9652,B,
Irrawaddy dolphin,Orcaella brevirostris,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcaella,190000.0,30.0,,,30.0,30.0,False,37.7226,31.0863,0.7953,0.9651,B,
Grasshopper sparrow,Ammodramus savannarum,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,17.6,9.1,,,9.1,9.1,False,6.5634,9.431,1.3865,0.9649,B,
Yellow-plumed honeyeater,Lichenostomus ornatus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,17.6,9.1,,,9.1,9.1,False,6.5634,9.431,1.3865,0.9649,B,
Mud skate,Bathyraja taranetzi,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Bathyraja,1831.9,,,14.0,14.0,14.0,False,15.7403,14.511,0.8894,0.9648,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Northern shrike,Lanius excubitor,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,63.5,,,12.0,12.0,12.0,False,8.3573,12.4397,1.4359,0.9647,B,
Northwestern crow,Corvus caurinus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,294.0,16.7,,,16.7,16.7,False,11.1531,17.3153,1.4973,0.9645,B,
Red wattlebird,Anthochaera carunculata,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,102.55,13.3,,,13.3,13.3,False,9.1467,13.7952,1.4541,0.9641,B,
Brown Howler,Alouatta guariba,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,5188.33,,,13.8083,13.8083,13.8083,False,19.1491,14.3243,0.7211,0.964,B,
-999,Aspidoscelis sexlineata,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,7.9,,,6.0,6.0,6.0,False,5.6445,6.2245,1.063,0.9639,B,
Six-lined racerunner,Cnemidophorus sexlineatus,Animalia,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,7.9,,,6.0,6.0,6.0,False,5.6445,6.2245,1.063,0.9639,B,
Black sea sprat,Clupeonella cultriventris,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupeonella,25.1,5.0,,,5.0,5.0,False,7.0172,5.1874,0.7125,0.9639,B,
Isabelline Shrike,Lanius isabellinus,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,28.5,,,10.0833,10.0833,10.0833,False,7.187,10.4648,1.403,0.9635,B,
Red-tailed Shrike,Lanius phoenicuroides,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,28.5,,,10.0833,10.0833,10.0833,False,7.187,10.4648,1.403,0.9635,B,
White steenbras,Lithognathus lithognathus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sparidae,Lithognathus,10000.0,,,21.0,21.0,21.0,False,21.6675,21.7987,0.9692,0.9634,C,
"Bunny, or Coney rat",Reithrodon auritus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodon,72.2,,5.5,,5.5,5.5,False,8.5618,5.7093,0.6424,0.9633,B,
Crevice spiny lizard,Sceloporus poinsettii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,30.94,,8.0,,8.0,8.0,False,7.2991,8.3048,1.096,0.9633,B,
Veery,Catharus fuscescens,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,28.8,10.1,,,10.1,10.1,False,7.2012,10.4884,1.4025,0.963,B,
Ferruginous hawk,Buteo regalis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,1500.0,23.7,,,23.7,23.7,False,15.1588,24.6124,1.5634,0.9629,B,
Burchell's redfin,Pseudobarbus burchelli,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudobarbus,53.982,6.0,,,6.0,6.0,False,8.1056,6.2329,0.7402,0.9626,B,
Yellow-pine Chipmunk,Tamias amoenus,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,54.2,,,5.1667,5.1667,5.1667,False,8.1118,5.3676,0.6369,0.9626,B,
Bewick's wren,Thryomanes bewickii,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,9.8,8.0,,,8.0,8.0,False,5.8783,8.3116,1.3609,0.9625,B,
Southern hake,Merluccius australis,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,44436.9,30.0,,,30.0,30.0,False,28.6933,31.1703,1.0455,0.9625,B,
Broad-winged hawk,Buteo platypterus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,454.0,18.3,,,18.3,18.3,False,12.104,19.0174,1.5119,0.9623,B,
Cuvier's gazelle,Gazella cuvieri,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,17500.0,,17.9,,17.9,17.9,False,24.0754,18.6078,0.7435,0.962,B,
Dalmatian pelican,Pelecanus crispus,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,9550.0,,35.3,,35.3,35.3,False,21.4805,36.6967,1.6434,0.9619,B,
Llama,Lama glama,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,140000.0,,28.0,,28.0,28.0,False,35.6146,29.1092,0.7862,0.9619,B,
Clouded Monitor,Varanus nebulosus,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,3750.0,,,22.0,22.0,22.0,False,18.0135,22.8762,1.2213,0.9617,B,
Algerian Gerbil,Gerbillus garamantis,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,28.4,,,4.4917,4.4917,4.4917,False,7.1823,4.6707,0.6254,0.9617,B,
Grobben's Gerbil,Gerbillus grobbeni,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,28.4,,,4.4917,4.4917,4.4917,False,7.1823,4.6707,0.6254,0.9617,B,
Red mullet,Mullus barbatus,Animalia,Chordata,Actinopterygii,Mulliformes,Mullidae,Mullus,680.0,,,11.0,11.0,11.0,False,13.0607,11.442,0.8422,0.9614,C,
Whistling kite,Haliastur sphenurus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,755.0,20.4,,,20.4,20.4,False,13.3206,21.2235,1.5315,0.9612,B,
Sardinian warbler,Sylvia melanocephala,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,11.7,8.3,,,8.3,8.3,False,6.0777,8.6356,1.3656,0.9611,B,
European hake,Merluccius merluccius,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,8250.0,20.0,,,20.0,20.0,False,20.8967,20.8161,0.9571,0.9608,B,
Pygmy Python,Antaresia perthensis,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Antaresia,82.0,,,9.8,9.8,9.8,False,8.7695,10.2031,1.1175,0.9605,B,
Yellowfin drum,Umbrina roncador,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Sciaenidae,Umbrina,2490.0,,,15.0,15.0,15.0,False,16.6768,15.6191,0.8995,0.9604,C,
European hare,Lepus europaeus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,4000.0,12.0,13.0,,12.5,13.0,False,18.2338,13.5446,0.713,0.9598,B,
Snow Sheep,Ovis nivicola,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,69125.0,,,24.0,24.0,24.0,False,31.1828,25.0079,0.7697,0.9597,B,
Cobbler,Cnidoglanis macrocephalus,Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae,Cnidoglanis,1375.0,13.0,,,13.0,13.0,False,14.9125,13.5463,0.8718,0.9597,B,
Northern waterthrush,Parkesia noveboracensis,Animalia,Chordata,Aves,Passeriformes,Parulidae,Parkesia,16.3,8.9,,,8.9,8.9,False,6.4693,9.2761,1.3757,0.9595,B,
Western marsh harrier,Circus aeruginosus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,711.5,20.1,,,20.1,20.1,False,13.1726,20.9535,1.5259,0.9593,B,
Southern mouthbrooder,Pseudocrenilabrus philander,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,25.6102,5.0,,,5.0,5.0,False,7.0438,5.2125,0.7098,0.9592,B,
Short-billed dowitcher,Limnodromus griseus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,105.0,13.3,,,13.3,13.3,False,9.1874,13.8656,1.4476,0.9592,B,
Herbert's Rock-wallaby,Petrogale herberti,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Petrogale,6465.8,,,14.4,14.4,14.4,False,19.9595,15.0192,0.7215,0.9588,B,
Heuglin's Lemniscomys,Lemniscomys zebra,Animalia,Chordata,Mammalia,Rodentia,Muridae,Lemniscomys,26.175,,,4.4,4.4,4.4,False,7.0728,4.5894,0.6221,0.9587,B,
Barbary striped grass mouse,Lemniscomys barbarus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Lemniscomys,26.2,,4.4,,4.4,4.4,False,7.0741,4.5904,0.622,0.9585,B,
Canada warbler,Cardellina canadensis,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,10.0,8.0,,,8.0,8.0,False,5.9007,8.348,1.3558,0.9583,B,
Least flycatcher,Empidonax minimus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,10.0,8.0,,,8.0,8.0,False,5.9007,8.348,1.3558,0.9583,B,
Princess parrotfish,Scarus taeniopterus,Animalia,Chordata,Actinopterygii,Eupercaria/misc,Scaridae,Scarus,689.487,11.0,,,11.0,11.0,False,13.0949,11.48,0.84,0.9582,C,"mass estimated from maximum length by FishBase's length-weight relationship, not weighed"
Cape barren goose,Cereopsis novaehollandiae,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cereopsis,3980.0,29.1,,,29.1,29.1,False,18.2166,30.381,1.5974,0.9578,B,
Mud darter,Etheostoma asprigene,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,3.0614,3.0,,,3.0,3.0,False,4.7217,3.1323,0.6354,0.9578,B,
